MGI symbol	NCBI gene ID	Gene Synonym
Gm22823	115490509	
Gm22823	115490510	
Gm4479		
Gm22236	115487495	
Gm23518		
Gm23300	115489089	
n-R5s192		
Gm10812		
Gm22949		
Gm26454	115488102	
Gm21836		
Gm24313	115487881	
Gm22180		
Gm23031		
n-R5s96		
Gm10702		
Gm27397		
Gm22438	115485786	
Gm24072		
Gm24490		
Gm22321	115490457	
Gm23048	115485717	
Gm22838		
Gm9806		
n-R5s51		
Gm22731		
Gm25817		
Gm23759		
Gm24704	115489776	
Mir669f		Mirn669f
Mir669f		mmu-mir-669f
Gm23394		
Mir6419		mmu-mir-6419
Gm27792		
Gm23079		
Gm22639		
Mir365-2		mir 365-2
Mir365-2		Mirn365-2
Mir365-2		mmu-mir-365-2
Mir377	723857	mir 377
Mir377	723857	Mirn377
Mir377	723857	mmu-mir-377
Gm47301		
Gm23846	115489670	
Gm26143	115486575	
Gm25593		
Gm24316	115488454	
Gm25606		
Gm10721		
Gm25529		
n-R5s36		
Gm27585		
Gm23086		
Gm27326		
Gm24267	115487706	
Gm23896	115486321	
Gm22073	115489869	
Gm23497		
Gm25117	115487522	
Gm25740	115487573	
Gm25913	115485866	
Gm24713	115488245	
Gm24713	115488585	
Snord34	27210	Rnu34
Snord34	27210	U34
Gm24145	115488697	
Gm27539		
Mir206	387202	Mirn206
Mir206	387202	mmu-mir-206
Gm23674	115486059	
Gm24384		
Gm26235		
Gm26158		
Gm25442		
Gm24984	115485742	
Gm26430	115488972	
Mir466f-2		Mirn466f-2
Mir466f-2		mmu-mir-466f-2
Gm23465		
Mir344h-1		mmu-mir-344h-1
Gm22993		
Gm22486	115490493	
Mir6918		mmu-mir-6918
Gm24125	115486259	
Gm23555	115486062	
Mir3074-2		mmu-mir-3074-2
Gm24909		
Gm23989		
Gm22067	115488600	
Mir6371		mmu-mir-6371
Mirlet7a-2		let 7a-2
Mirlet7a-2		Mirnlet7a-2
Mirlet7a-2		mmu-let-7a-2
Gm23000		
Gm47305		
Gm24502	115490246	
Gm25644	115489067	
Gm25981		
Gm24459		
Gm23859	115488988	
Gm23358		
Gm27306		
Gm25135	115488858	
Gm27596		
Mir6240		mmu-mir-6240
Mir7219		mmu-mir-7219
Gm23363		
Gm26048	115487652	
Gm24569	115488676	
Gm25470		
Gm25471	115486812	
Gm25471	115486813	
Gm25471	115486814	
Gm25471	115486815	
Gm23340		
Gm24356	115486571	
Mir3084-2	102465114	Gm38437
Mir3084-2	102465114	mmu-mir-3084-2
Gm25005		
Gm26229		
Gm25164		
Mir7031		mmu-mir-7031
Gm24431		
Gm26490	115486288	
Gm22836	115487258	
Mir6343		mmu-mir-6343
Snora62		E2
Snora62		MBI-136
Snora62		Rnu108
Gm25720		
Mir466c-2		Mirn466c-2
Mir466c-2		mmu-mir-466c
Mir466c-2		mmu-mir-466c-2
Gm24423	115487010	
Gm27617		
Gm23351	115488236	
Gm22034	115485796	
Gm25394	115488237	
Gm27953		
Gm24579	115486015	
Gm22331	115485769	
Gm25604	115486291	
Mir6359		mmu-mir-6359
Mir3962		mmu-mir-3962
Ccl21a	100504362	
Gm25651		
Gm22057	115489274	
n-R5s128	115487073	
Gm22988	115487654	
Gm22988	115487892	
Gm24901	115487628	
Gm22618	115490223	
Gm27336		
Gm24690		
Mir6995		mmu-mir-6995
Gm25141	115488596	
Gm25325		
Gm23558		
Gm25360	115487690	
Gm22345	115490008	
Gm26326	115485865	
Gm25783	115488855	
Gm22225		
Gm22783	115489190	
Gm25603		
Mir6395		mmu-mir-6395
Gm24346		
Gm26232	115489789	
Gm26232	115489800	
Gm22520	115486083	
Mir465d		mmu-mir-465d
Mir680-3		mir 680-3
Mir680-3		Mirn680-3
Mir680-3		mmu-mir-680-3
Gm23880		
Gm25809		
Gm25267	115487035	
Gm23622	115488453	
n-R5s6		
Mir5616		mmu-mir-5616
Gm23352	115488829	
Gm22157	115488265	
Gm23509	115488415	
Gm27595		
Mir669l		mmu-mir-669l
Gm27543		
	108168683	
	108168684	
	108169098	
	108169101	
Gm23740		
n-R5s92		
Gm24233	115485895	
Gm24242	115490324	
Gm24242	115490325	
Gm24630		
Gm22503		
Gm24406		
Gm24103		
Gm22152		
Gm23225		
Gm23287	115490087	
Gm24048		
Gm26214	115487626	
Gm23992		
Gm23845		
Gm23298	115488099	
Gm44329		
Gm23601	115485753	
n-R5s136		
Mir7035		mmu-mir-7035
Gm23040	115486584	
Gm28010		
Gm27313		
Mir3074-1		mmu-mir-3074-1
Gm10800		
Gm23044		
Gm23645	115487841	
Gm22987		
Gm24062		
Gm24269		
Snord116l11	115486752	Gm26094
Snord116l11	115486753	Gm26094
Snord116l11	115486754	Gm26094
Snord116l11	115486755	Gm26094
Snord116l11	115486757	Gm26094
Snord116l11	115486758	Gm26094
Snord116l11	115486759	Gm26094
Snord116l11	115486760	Gm26094
Snord116l11	115486761	Gm26094
Snord116l11	115486762	Gm26094
Snord116l11	115486763	Gm26094
Snord116l11	115486764	Gm26094
Snord116l11	115486765	Gm26094
Snord116l11	115486766	Gm26094
Snord116l11	115486767	Gm26094
Snord116l11	115486768	Gm26094
Snord116l11	115486769	Gm26094
Snord116l11	115486770	Gm26094
Snord116l11	115486771	Gm26094
Snord116l11	115486772	Gm26094
Snord116l11	115486773	Gm26094
Snord116l11	115486774	Gm26094
Snord116l11	115486775	Gm26094
Snord116l11	115486777	Gm26094
Snord116l11	115486778	Gm26094
Snord116l11	115486779	Gm26094
Snord116l11	115486780	Gm26094
Snord116l11	115486781	Gm26094
Gm26249		
Gm22380		
Gm25457	115487713	
Gm25737	115486786	
Gm25737	115486797	
Gm25737	115486808	
Gm25737	115486997	
Gm25737	115486998	
Gm25737	115486999	
Gm25737	115487326	
Gm25737	115487550	
Gm25737	115487551	
Gm25737	115487552	
Gm25737	115487701	
Gm25737	115487702	
Gm25737	115487703	
Gm25737	115487930	
Gm25737	115488091	
Gm25737	115488093	
Gm25737	115488242	
Gm25737	115488444	
Gm25737	115488445	
Gm25737	115488579	
Gm25737	115488580	
Gm25737	115488723	
Gm25737	115488724	
Gm25737	115488863	
Gm25737	115488967	
Gm25737	115489271	
Gm25737	115489272	
Gm25737	115489273	
Gm25737	115489352	
Gm25737	115489655	
Gm25737	115489656	
Gm25737	115489876	
Gm25737	115489877	
Gm25737	115489878	
Gm25737	115489879	
Gm25737	115489880	
Gm25737	115489881	
Gm25737	115489882	
Gm25737	115490090	
Gm25737	115490091	
Gm25737	115490092	
Gm25737	115490509	
Gm25737	115490510	
Gm23887		
Mir411	723936	mir 411
Mir411	723936	Mirn411
Mir411	723936	mmu-mir-411
Gm24136	115489821	
Mir6413		mmu-mir-6413
Gm9864		
Mir5104		mmu-mir-5104
Gm24297		
Gm24535	115489158	
Snord107	115486845	MBII-436
Mir7687		mmu-mir-7687
Gm27861		
Gm25877	115490043	
Gm23975	115490003	
Gm23334		
n-R5s102	115487070	
Gm27624		
n-R5s111	115487073	
Mirlet7c-2		let 7c-2
Mirlet7c-2		Mirnlet7c-2
Mirlet7c-2		mmu-let-7c-2
Gm24222		
Gm23453	115487581	
Gm22334	115486131	
Gm26307	115486027	
Gm24873	115486786	
Gm24873	115486797	
Gm24873	115486808	
Gm24873	115486997	
Gm24873	115486998	
Gm24873	115486999	
Gm24873	115487326	
Gm24873	115487550	
Gm24873	115487551	
Gm24873	115487552	
Gm24873	115487701	
Gm24873	115487702	
Gm24873	115487703	
Gm24873	115487930	
Gm24873	115488091	
Gm24873	115488093	
Gm24873	115488242	
Gm24873	115488444	
Gm24873	115488445	
Gm24873	115488579	
Gm24873	115488580	
Gm24873	115488723	
Gm24873	115488724	
Gm24873	115488863	
Gm24873	115488967	
Gm24873	115489271	
Gm24873	115489272	
Gm24873	115489273	
Gm24873	115489352	
Gm24873	115489655	
Gm24873	115489656	
Gm24873	115489876	
Gm24873	115489877	
Gm24873	115489878	
Gm24873	115489879	
Gm24873	115489880	
Gm24873	115489881	
Gm24873	115489882	
Gm24873	115490090	
Gm24873	115490091	
Gm24873	115490092	
Gm24873	115490509	
Gm24873	115490510	
Gm25434	115490473	
Gm23071		
Mir741		Mirn741
Mir741		mmu-mir-741
Mir741		mmu-miR-742
n-R5s121	115487073	
Gm22575	115489774	
Gm25943		
Gm26341	115485739	
n-R5s80		
Gm24377	115485879	
Gm44381		
Gm27533		
Gm22189		
Gm22477		
Mir6417		mmu-mir-6417
Gm26100	115485665	
Gm24097	115490230	
Gm26134		
Gm22999		
Gm26124		
Mir6974		mmu-mir-6974
Gm25072		
Mir34a	723848	mir 34a
Mir34a	723848	Mirn34a
Mir34a	723848	mmu-mir-34a
Mir3070b		mmu-mir-3070b
Gm22704	115489604	
Gm25066		
Gm25081	115489566	
Gm25217		
n-R5s182		
Gm23732	115487931	
Gm23732	115488095	
Gm23732	115490093	
Gm23732	115490323	
Mir8098		mmu-mir-8098
Gm22717		
Mir344i		mmu-mir-344i
Gm26079	115490290	
Gm26253		
Mir6905		mmu-mir-6905
Mir6375		mmu-mir-6375
Gm22215	115488890	
Gm27402		
Gm25057		
Gm25780		
Mir216a	387212	Mirn216
Mir216a	387212	Mirn216a
Mir216a	387212	mmu-mir-216a
Mir5101		mmu-mir-5101
Gm24916	115488429	
Gm22484		
Gm25300		
Mir688		mir 688
Mir688		Mirn688
Mir688		mmu-mir-688
Snord85		MBII-251
Snord85		Z50
Gm24561		
Gm27741		
Gm25608	115486302	
Gm44375		
Gm25336		
Gm44390		
Mir7649		mmu-mir-7649
Gm23692	115488709	
Gm25378	115486267	
Gm26213		
Gm25262		
Mir3470b		mmu-mir-3470b
Gm27494		
Gm23579	115488110	
Gm26502	115486792	
Gm26502	115486793	
Gm26502	115486794	
Mir365-1		mir 365-1
Mir365-1		Mirn365-1
Mir365-1		mmu-mir-365-1
Gm10849		
n-R5s216		
Gm23346	115490470	
Gm26310		
Gm22710		
Gm23899		
	100862115	
Mir212	387208	Mirn212
Mir212	387208	mmu-mir-212
Gm23251		
Gm25670	115488447	
Gm22233		
Gm22516	115489634	
Gm22539		
Gm25102		
Gm25194	115486699	
Gm25829	115486786	
Gm25829	115486797	
Gm25829	115486808	
Gm25829	115486997	
Gm25829	115486998	
Gm25829	115486999	
Gm25829	115487326	
Gm25829	115487550	
Gm25829	115487551	
Gm25829	115487552	
Gm25829	115487701	
Gm25829	115487702	
Gm25829	115487703	
Gm25829	115487930	
Gm25829	115488091	
Gm25829	115488093	
Gm25829	115488242	
Gm25829	115488444	
Gm25829	115488445	
Gm25829	115488579	
Gm25829	115488580	
Gm25829	115488723	
Gm25829	115488724	
Gm25829	115488863	
Gm25829	115488967	
Gm25829	115489271	
Gm25829	115489272	
Gm25829	115489273	
Gm25829	115489352	
Gm25829	115489655	
Gm25829	115489656	
Gm25829	115489876	
Gm25829	115489877	
Gm25829	115489878	
Gm25829	115489879	
Gm25829	115489880	
Gm25829	115489881	
Gm25829	115489882	
Gm25829	115490090	
Gm25829	115490091	
Gm25829	115490092	
Gm25829	115490509	
Gm25829	115490510	
Gm24158		
Gm26073		
Mir6537		mmu-mir-6537
Gm27396		
Snora9	115487884	Gm22457
Gm26138	115490094	
Gm25911		
Gm23903	115485987	
Gm27703		
Gm25227		
Gm27405		
	100041057	
Gm23054	115489857	
Gm23973		
Gm26348		
Gm24075		
Gm23826		
Mir8096		mmu-mir-8096
Ccl27	100861978	
Gm23326	115487251	
Gm25425		
Gm28006		
Mir6237		mmu-mir-6237
Gm22177	115486671	
Ccl27	100039939	
Gm27601		
Gm22875		
Gm24509		
Mir5710		mmu-mir-5710
Spry3	236576	
Gm23921		
1600017P15Rik		Gm24413
Mir5619		mmu-mir-5619
Mir7054		mmu-mir-7054
n-R5s159		
Gm23117	115488266	
Gm11168		
Gm27640		
Mir1949		mmu-mir-1949
Mir7221		mmu-mir-7221
	102633783	
Gm17617		
Mir187		Mirn187
Mir187		mmu-mir-187
Snord1b		
Gm27901		
Mir466j		Mirn466j
Mir466j		mmu-mir-466j
Gm44387		
4933412A08Rik		
Mir3968		mmu-mir-3968
Gm10172		
Gm7381		
Gm24028		
Gm25681	115489771	
Gm26303		
Gm26467	115486742	
Gm26467	115486743	
Gm25410	115487519	
D130007C19Rik		
Gm24217		
Mir6915		mmu-mir-6915
Btbd35f29	100862067	Gm21447
B430305J03Rik		
Gm25965		
Mir28b		mmu-mir-28b
Gm25982	115490032	
Gm10617		
Gm22600		
		
Gm22747	115486776	
Gm26456		
Mir181b-1	723890	mir 181b-1
Mir181b-1	723890	Mirn181b-1
Mir181b-1	723890	mmu-mir-181b-1
Gm25486	115488047	
Mir6376		mmu-mir-6376
Mir542	723901	mir 542
Mir542	723901	Mirn542
Mir542	723901	mmu-mir-542
	108169010	
	115489314	
Mir466b-7		mmu-mir-466b-7
Gm26270	115486752	
Gm26270	115486753	
Gm26270	115486754	
Gm26270	115486755	
Gm26270	115486757	
Gm26270	115486758	
Gm26270	115486759	
Gm26270	115486760	
Gm26270	115486761	
Gm26270	115486762	
Gm26270	115486763	
Gm26270	115486764	
Gm26270	115486765	
Gm26270	115486766	
Gm26270	115486767	
Gm26270	115486768	
Gm26270	115486769	
Gm26270	115486770	
Gm26270	115486771	
Gm26270	115486772	
Gm26270	115486773	
Gm26270	115486774	
Gm26270	115486775	
Gm26270	115486777	
Gm26270	115486778	
Gm26270	115486779	
Gm26270	115486780	
Gm26270	115486781	
Gm22264	115488976	
Gm24877		
Gm22378	115487869	
Gm23081		
Gm11172		
	100862245	
Gm25250		
Gm9988		
Gm22850		
Gm24494	115489817	
Gm25070		
Gm24982	115485616	
Gm22730		
Gm26131		
Gm24460	115489215	
Mir7070		mmu-mir-7070
Snora78		ACA64
Gm24398		
Gm27392		
Mir344g		mmu-mir-344g
Gm24268	115489166	
Gm25879	115489573	
Gm22287	115489175	
Mir378c		mmu-mir-378c
Mir199b	387239	Mirn199b
Mir199b	387239	mmu-mir-199b
Gm22944	115489825	
Gm26416	115485975	
Gm26443		
Olfr290		GA_x6K02T2NHDJ-11170115-11169168
Olfr290		MOR254-1
Gm21954		
Gm22122		
Mir21c		mmu-mir-21c
Gm24416		
Gm23957		
Gm23169	115487625	
Gm23738	115490060	
Mir297-1		mir 297-1
Mir297-1		Mirn297-1
Mir297-1		mmu-mir-297-1
Mir297-1		mmu-mir-297a-1
Gm23658		
Gm24811		
Mir6348		mmu-mir-6348
Mir669d		Mirn669d
Mir669d		mmu-mir-669d
Gm22064		
Gm25716	115488393	
Gm25098	115486600	
Gm25098	115486601	
Gm25098	115486602	
Gm25098	115486603	
Gm25098	115486605	
Gm25098	115486606	
Gm25098	115486607	
Gm25098	115486608	
Gm25098	115486609	
Gm25098	115486610	
Gm25098	115486611	
Gm25098	115486612	
Gm25098	115486613	
Gm25098	115486614	
Gm25098	115486616	
Gm25098	115486617	
Gm25098	115486618	
Gm25098	115486619	
Gm25098	115486620	
Gm25098	115486621	
Gm25098	115486622	
Gm25098	115486623	
Gm25098	115486624	
Gm25098	115486625	
Gm25098	115486627	
Gm25098	115486628	
Gm25098	115486629	
Gm25098	115486630	
Gm25098	115486631	
Gm25098	115486632	
Gm25098	115486633	
Gm25098	115486634	
Gm25098	115486635	
Gm24083		
Gm27541		
Gm24940	115487682	
Gm23604	115485643	
n-R5s204		
Gm21748		
Gm10135		
Mir7005		mmu-mir-7005
Gm26042		
Gm24548		
Gm26922		
Mir615		Mirn615
Mir615		mmu-mir-615
Mir29b-2		mir 29b-2
Mir29b-2		Mirn29b-2
Mir29b-2		mmu-mir-29b-2
Gm23226		
Mrto4-ps2		Gm5633
Gm23102	115488862	
Gm22163	115486006	
Mir7235		mmu-mir-7235
Gm22518		
Gm25748		
Gm24004		
Snord57		MBII-434
		
Gm23170		
Gm10944		
Gm26312	115489254	
	100041712	
Gm24555		
Gm24261	115488247	
Gm25554		
Gm22692		
Gm22085	115487029	
Gm25224		
Mir218-2		mir 218-2
Mir218-2		mir-218-2
Mir218-2		Mirn218-2
Mir218-2		mmu-mir-218-2
Gm25015	115485893	
Gm24610		
Gm24963	115489827	
Gm25722		
Gm25203	115488090	
Gm22594	115485748	
Gm10974		
Gm26060		
Gm24256		
Gm17728		
Gm22654	115488888	
Gm22044	115487001	
Gm25799	115487942	
Gm23766		
Gm24616	115488691	
Gm27316		
Mir466b-5		mmu-mir-466b-5
Mir221		mir 221
Mir221		Mirn221
Mir221		mmu-mir-221
Gm23749	115486138	
Mir3473g		mmu-mir-3473g
Gm23437	115485945	
Gm21738		
Gm24207	115488457	
Gm25426		
Gm10620		
Gm24239		
Gm25935	115488869	
Gm27441		
Gm23841		
Gm24347		
Gm9925		
Gm24568	115487042	
Gm26097	115486811	
Gm27754		
Mir488		mir 488
Mir488		Mirn488
Mir488		mmu-mir-488
Mir323	723839	mir 323
Mir323	723839	Mirn323
Mir323	723839	mmu-mir-323
Gm24718	115489240	
Mir671		mir 671
Mir671		Mirn671
Mir671		mmu-mir-671
n-R5s40		
Gm23764		
Gm25838		
Gm24135		
Gm24931		
Gm27399		
Gm27899		
Gm25055		
Rnu7	19866	
Fam205a2	545611	
Fam205a2	100043920	
Fam205a2	100862261	
Fam205a2	100862324	
Fam205a3	545611	
Fam205a3	100043920	
Fam205a3	100862261	
Fam205a3	100862324	
Fam205a4	545611	
Fam205a4	100043920	
Fam205a4	100862261	
Fam205a4	100862324	
Mir666		mir 666
Mir666		Mirn666
Mir666		mmu-mir-666
Gm23288		
n-R5s19		
Gm23201	115486177	
Gm22985		
Gm25776	115488078	
Gm22763		
Mir1931		mmu-mir-1931
Gm25579	115486570	
Gm22259	115488975	
Gm24253	115487877	
Gm22938		
Gm23991	115486842	
Gm22460		
Gm24775		
Gm25282		
Gm22223		
Gm22175		
Mir708	735284	mir 708
Mir708	735284	Mirn708
Mir708	735284	mmu-mir-708
Gm22100	115490037	
Gm22418	115490508	
Gm24833	115488569	
Tsr3	68327	0610007P22Rik
Tsr3	68327	1110014B11Rik
Gm26741		
Mir378b		mmu-mir-378b
Mir7061		mmu-mir-7061
Gm22337	115486210	
n-R5s213		
Gm23672		
Gm22527		
Mir7213		mmu-mir-7213
Gm24456	115489884	
Gm23864	115488883	
Gm22778	115485903	
Gm25569		
Gm23342		
Gm22138	115485720	
Mir6354		mmu-mir-6354
Gm24519	115485898	
Gm9959		
Gm25272	115485948	
Gm26330	115490046	
Gm23730	115487337	
Gm24439		
Gm25064	115486786	
Gm25064	115486797	
Gm25064	115486808	
Gm25064	115486997	
Gm25064	115486998	
Gm25064	115486999	
Gm25064	115487326	
Gm25064	115487550	
Gm25064	115487551	
Gm25064	115487552	
Gm25064	115487701	
Gm25064	115487702	
Gm25064	115487703	
Gm25064	115487930	
Gm25064	115488091	
Gm25064	115488093	
Gm25064	115488242	
Gm25064	115488444	
Gm25064	115488445	
Gm25064	115488579	
Gm25064	115488580	
Gm25064	115488723	
Gm25064	115488724	
Gm25064	115488863	
Gm25064	115488967	
Gm25064	115489271	
Gm25064	115489272	
Gm25064	115489273	
Gm25064	115489352	
Gm25064	115489655	
Gm25064	115489656	
Gm25064	115489876	
Gm25064	115489877	
Gm25064	115489878	
Gm25064	115489879	
Gm25064	115489880	
Gm25064	115489881	
Gm25064	115489882	
Gm25064	115490090	
Gm25064	115490091	
Gm25064	115490092	
Gm25064	115490509	
Gm25064	115490510	
Gm25609	115487600	
Mir99a		Mirn99a
Mir99a		mmu-mir-99a
Gm23655	115488747	
Mir6394		mmu-mir-6394
Gm22608	115487862	
Gm27854		
Gm25210	115486812	
Gm25210	115486813	
Gm25210	115486814	
Gm25210	115486815	
Gm22573	115490009	
Gm26183	115486084	
Gm24281	115486096	
Gm24477		
Gm23934	115486786	
Gm23934	115486797	
Gm23934	115486808	
Gm23934	115486997	
Gm23934	115486998	
Gm23934	115486999	
Gm23934	115487326	
Gm23934	115487550	
Gm23934	115487551	
Gm23934	115487552	
Gm23934	115487701	
Gm23934	115487702	
Gm23934	115487703	
Gm23934	115487930	
Gm23934	115488091	
Gm23934	115488093	
Gm23934	115488242	
Gm23934	115488444	
Gm23934	115488445	
Gm23934	115488579	
Gm23934	115488580	
Gm23934	115488723	
Gm23934	115488724	
Gm23934	115488863	
Gm23934	115488967	
Gm23934	115489271	
Gm23934	115489272	
Gm23934	115489273	
Gm23934	115489352	
Gm23934	115489655	
Gm23934	115489656	
Gm23934	115489876	
Gm23934	115489877	
Gm23934	115489878	
Gm23934	115489879	
Gm23934	115489880	
Gm23934	115489881	
Gm23934	115489882	
Gm23934	115490090	
Gm23934	115490091	
Gm23934	115490092	
Gm23934	115490509	
Gm23934	115490510	
Gm22642		
Mir297b		Mirn297b
Mir297b		mmu-mir-297b
Gm22480	115489815	
Gm23612		
Mir1961		mmu-mir-1961
Gm25729		
Gm24781		
Gm24019	115487555	
Gm24019	115487556	
Gm24019	115488100	
Gm24019	115488101	
Gm24014		
Gm24731	115485892	
Gm22030		
Gm24375	115485651	
Mir3081		mmu-mir-3081
Mir6988		mmu-mir-6988
Gm25934	115486707	
Gm22533		
Gm23416		
Gm25161	115486359	
Mir1950		mmu-mir-1950
Mir186	387181	Mirn186
Mir186	387181	mmu-mir-186
Gm24946		
Gm10205		
Gm27804		
Gm24951		
Gm25014		
Gm44413		
Gm25842		
Gm25832	115485785	
Gm24154	115485620	
Gm24402		
Gm23753		
		
Gm26458	115485833	
Gm24632		
Gm22965		
Gm26157		
1700024J04Rik		
Gm23470		
Gm26365	115486806	
Gm25090	115486142	
Gm44376		
Gm23965		
Gm24337	115486255	
Mir6969		mmu-mir-6969
Mir3068		mmu-mir-3068
Snora61	115486404	MBI-164
Gm22498	115488428	
Gm26224	115487643	
Mir543	723881	mir 543
Mir543	723881	Mirn543
Mir543	723881	mmu-mir-543
Gm22733		
Gm23442	115488838	
Gm24709	115486336	
Gm24021	115486661	
Gm24021	115486662	
Gm24021	115486663	
Gm24021	115486664	
Gm24021	115486666	
Gm24021	115486667	
Gm24021	115486668	
Gm24021	115486669	
Gm24021	115486670	
Gm24021	115486672	
Gm24021	115486673	
Gm24021	115486674	
Gm24021	115486675	
Gm24021	115486676	
Gm24021	115486677	
Gm24021	115486678	
Gm24021	115486679	
Gm24021	115486680	
Gm24021	115486681	
Gm24021	115486683	
Gm24021	115486684	
Gm24021	115486685	
Gm24021	115486686	
Gm22035		
Gm24334	115485883	
Gm22254		
Gm25253	115487592	
A930002H24Rik		
Gm25299		
Gm23589		
Gm24902		
Gm27511		
Gm25024	115488755	
Gm24947	115490448	
Mir106b		mir 106b
Mir106b		Mirn106b
Mir106b		mmu-mir-106b
Gm24759	115486600	
Gm24759	115486601	
Gm24759	115486602	
Gm24759	115486603	
Gm24759	115486605	
Gm24759	115486606	
Gm24759	115486607	
Gm24759	115486608	
Gm24759	115486609	
Gm24759	115486610	
Gm24759	115486611	
Gm24759	115486612	
Gm24759	115486613	
Gm24759	115486614	
Gm24759	115486616	
Gm24759	115486617	
Gm24759	115486618	
Gm24759	115486619	
Gm24759	115486620	
Gm24759	115486621	
Gm24759	115486622	
Gm24759	115486623	
Gm24759	115486624	
Gm24759	115486625	
Gm24759	115486627	
Gm24759	115486628	
Gm24759	115486629	
Gm24759	115486630	
Gm24759	115486631	
Gm24759	115486632	
Gm24759	115486633	
Gm24759	115486634	
Gm24759	115486635	
Gm23446	115486792	
Gm23446	115486793	
Gm23446	115486794	
n-R5s48		
Gm26279		
Gm26013		
Gm26486		
Gm26220		
Gm44318		
Gm22565		
Gm28019		
Gm23554		
Gm22514		
Gm23033	115485991	
Gm23620		
Gm26021	115486362	
Gm22026		
Gm24870	115488243	
		
Gm22812	115486752	
Gm22812	115486753	
Gm22812	115486754	
Gm22812	115486755	
Gm22812	115486757	
Gm22812	115486758	
Gm22812	115486759	
Gm22812	115486760	
Gm22812	115486761	
Gm22812	115486762	
Gm22812	115486763	
Gm22812	115486764	
Gm22812	115486765	
Gm22812	115486766	
Gm22812	115486767	
Gm22812	115486768	
Gm22812	115486769	
Gm22812	115486770	
Gm22812	115486771	
Gm22812	115486772	
Gm22812	115486773	
Gm22812	115486774	
Gm22812	115486775	
Gm22812	115486777	
Gm22812	115486778	
Gm22812	115486779	
Gm22812	115486780	
Gm22812	115486781	
n-R5s27		
Gm23532	115490272	
Gm24339	115487283	
Gm24805	115489074	
Snora19		MBI-51
Mir133a-1	387151	mir-133a-1
Mir133a-1	387151	Mirn133
Mir133a-1	387151	Mirn133a-1
Mir133a-1	387151	mmu-mir-133a-1
Gm25884	115487508	
Snora21		MBI-3
Gm25294	115487617	
Gm22435		
Gm24132		
Gm23758	115488403	
Mir762	791073	mir-762
Mir762	791073	Mirn762
Mir762	791073	mmu-mir-762
Gm24944		
Mir467a-3		Mirn467a-3
Mir467a-3		mmu-mir-467a
Mir467a-3		mmu-mir-467a-3
Mir7074		mmu-mir-7074
Gm25878	115486178	
Gm27420		
Mir29b-1	387223	Mirn29b
Mir29b-1	387223	Mirn29b-1
Mir29b-1	387223	mmu-mir-29b-1
Gm27320		
Gm25830	115485668	
Mir7041		mmu-mir-7041
Gm22646		
Gm22063	115487000	
Gm26091		
Mir7059		mmu-mir-7059
Gm23265	115486752	
Gm23265	115486753	
Gm23265	115486754	
Gm23265	115486755	
Gm23265	115486757	
Gm23265	115486758	
Gm23265	115486759	
Gm23265	115486760	
Gm23265	115486761	
Gm23265	115486762	
Gm23265	115486763	
Gm23265	115486764	
Gm23265	115486765	
Gm23265	115486766	
Gm23265	115486767	
Gm23265	115486768	
Gm23265	115486769	
Gm23265	115486770	
Gm23265	115486771	
Gm23265	115486772	
Gm23265	115486773	
Gm23265	115486774	
Gm23265	115486775	
Gm23265	115486777	
Gm23265	115486778	
Gm23265	115486779	
Gm23265	115486780	
Gm23265	115486781	
Mir214	387210	Mirn214
Mir214	387210	mmu-mir-214
Gm26372		
Gm26126	115487303	
Gm25455		
Gm26209		
Gm24438		
Mir6516		mmu-mir-6516
Gm25538	115488105	
Gm25255		
Gm26421	115486145	
Gm25417	115485705	
Gm24119	115487534	
Gm24614	115489753	
Gm22051		
Gm25704		
Gm22584	115486819	
Gm27317		
Gm24543		
Mir297a-4		Mirn297a-4
Mir297a-4		mmu-mir-297a-4
Rnu3b3	19860	Rnu3b-3
Gm24656	115485983	
Mirlet7b	387245	Mirnlet7b
Mirlet7b	387245	mmu-let-7b
Gm23330	115489842	
Gm24016	115490074	
Gm24491	115489160	
Gm23179		
n-R5s23		
Gm23907	115488571	
Mir7076		mmu-mir-7076
Gm25797	115489183	
Gm23865		
Gm23256		
Gm22897	115490274	
Gm27898		
Gm27605		
Gm26325	115486563	
Rnu3a	19850	
n-R5s173		
Gm22831		
n-R5s179		
Mir7094-2		mmu-mir-7094-2
Gm25990		
Mir3075		mmu-mir-3075
Mir1951		mmu-mir-1951
Gm23296	115487555	
Gm23296	115487556	
Gm23296	115488100	
Gm23296	115488101	
Mir1964		mmu-mir-1964
Mir674		mir 674
Mir674		Mirn674
Mir674		mmu-mir-674
Gm23053		
Mir1893		Mirn1893
Mir1893		mmu-mir-1893
Mir873b		mmu-mir-873b
Gm24418	115486718	
Gm24418	115486719	
Gm24418	115486720	
Gm24418	115486721	
n-R5s34		
Gm24123	115486125	
Gm23712	115490327	
Gm22166		
Gm23945		
Gm25754		
Snora23		MBI-1
Gm24212	115485661	
Gm44354		
Gm25793	115489275	
Gm27684		
Gm22697		
Gm24751		
Gm23163		
Gm26485		
Gm24756		
Gm22952		
Gm22889		
Mir7231		mmu-mir-7231
Gm24161	115486256	
Gm24828		
Gm26286	115490271	
Gm24855		
Gm25384	115487618	
Gm26441	115489173	
Gm23999		
Gm28033		
Gm27853		
Mir1954		mmu-mir-1954
Gm24437	115488678	
Gm24153	115486752	
Gm24153	115486753	
Gm24153	115486754	
